learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,vote for class 0,vote for class 1,training queue size,recall0 Validation,recall1 Validation,time stamp,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
24.0,24.0,33.587021275083366,0.0,-78.28764547374682,-97.73405382091829,8.0,16.0,100.0,0.0,0.0,100.0,67.0,0.0,20.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.300415911E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,25.0,32.075308844750204,0.0,-90.93986234406096,-111.76628877999748,8.0,17.0,100.0,0.0,0.0,100.0,68.0,0.0,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.30145491E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,26.0,30.680468540595907,-8.87514768706171,-80.63473009693321,-97.89121300862128,9.0,17.0,88.43700077872938,0.0,11.56299922127062,100.0,71.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,4.0,0.0,0.0,1.305149375E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,27.0,29.389514280291625,-17.317012467844535,-92.0810026376438,-86.98366705792246,10.0,17.0,79.18800266599344,0.0,20.811997334006556,100.0,72.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,5.0,0.0,0.0,1.305150062E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,28.0,32.268276532516865,-12.063963391095886,-72.17438690941268,-86.98366705792247,10.0,18.0,79.18800266599344,6.042798535773048,20.811997334006556,93.95720146422694,73.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,6.0,0.0,0.0,1.305287658E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29.0,29.0,34.9472420244162,-7.581176703291585,-72.17438690941269,-86.9836670579225,10.0,19.0,79.18800266599344,11.447875774266535,20.811997334006556,88.55212422573346,73.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,6.0,0.0,0.0,1.305321817E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,30.0,37.446391132786644,-3.710989932303879,-72.17438690941272,-86.9836670579225,10.0,20.0,79.18800266599344,16.310890490877007,20.811997334006556,83.689109509123,73.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,6.0,0.0,0.0,1.305326948E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31.0,31.0,39.783126144596665,-0.3360208037502011,-72.1743869094127,-86.98366705792249,10.0,21.0,79.18800266599344,20.70928077151154,20.811997334006556,79.29071922848847,73.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,6.0,0.0,0.0,1.305491483E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,32.0,41.97267408347333,2.632924145243367,-72.17438690941273,-86.9836670579225,10.0,22.0,79.18800266599344,24.706405078340875,20.811997334006556,75.29359492165914,73.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,6.0,0.0,0.0,1.305850908E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,33.0,44.02841629500847,5.264832094862893,-72.17438690941273,-86.98366705792253,10.0,23.0,79.18800266599344,28.354603037528015,20.811997334006556,71.645396962472,74.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,7.0,0.0,0.0,1.305878739E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
